fueltype,carbody,carlength,enginesize,horsepower,peakrpm,highwaympg,price
gas,sedan,172.4,122,88,5000,32,8189
gas,sedan,172.4,110,116,5500,30,9279
gas,sedan,172.4,110,116,5500,30,9279
gas,sedan,165.3,97,69,5200,37,5499
diesel,sedan,165.3,103,55,4800,50,7099
gas,sedan,165.3,97,69,5200,37,6649
gas,sedan,165.3,97,69,5200,37,6849
gas,wagon,170.2,97,69,5200,37,7349
gas,sedan,165.3,97,69,5200,37,7299
gas,hatchback,165.6,97,69,5200,37,7799
gas,sedan,165.3,97,69,5200,37,7499
gas,wagon,170.2,97,69,5200,37,7999
gas,hardtop,162.4,97,69,5200,37,8249
gas,hatchback,173.4,120,97,5200,34,8949
gas,sedan,173.4,120,97,5200,34,9549
gas,sedan,181.7,181,152,5200,22,13499
gas,wagon,184.6,181,152,5200,22,14399
gas,sedan,184.6,181,152,5200,25,13499
gas,hatchback,170.7,181,160,5200,25,17199
gas,hatchback,170.7,181,200,5200,23,19699
gas,hatchback,178.5,181,160,5200,25,18399
gas,sedan,186.7,120,97,5000,24,11900
diesel,sedan,186.7,152,95,4150,33,13200
gas,wagon,198.9,120,97,5000,24,12440
diesel,wagon,198.9,152,95,4150,25,13860
gas,sedan,186.7,120,95,5000,24,15580
diesel,sedan,186.7,152,95,4150,33,16900
gas,wagon,198.9,120,95,5000,24,16695
diesel,wagon,198.9,152,95,4150,25,17075
gas,sedan,186.7,120,97,5000,24,16630
diesel,sedan,186.7,152,95,4150,33,17950
gas,sedan,186.7,134,142,5600,24,18150
gas,hatchback,157.3,90,68,5500,41,5572
gas,hatchback,157.3,98,102,5500,30,7957
gas,hatchback,157.3,90,68,5500,38,6229
gas,sedan,167.3,90,68,5500,38,6692
gas,sedan,167.3,98,68,5500,38,7609
gas,wagon,174.6,122,88,5000,30,8921
gas,hatchback,173.2,156,145,5000,24,12764
gas,hatchback,168.9,151,143,5500,27,22018
gas,hardtop,168.9,194,207,5900,25,32528
gas,hardtop,168.9,194,207,5900,25,34028
gas,convertible,168.9,194,207,5900,25,37028
gas,hatchback,175.7,203,288,5750,28,31400.5
gas,wagon,181.5,132,90,5100,31,9295
gas,hatchback,176.8,132,90,5100,31,9895
gas,hatchback,186.6,121,110,5250,28,11850
gas,sedan,186.6,121,110,5250,28,12170
gas,hatchback,186.6,121,110,5250,28,15040
gas,sedan,186.6,121,110,5250,28,15510
gas,hatchback,186.6,121,160,5500,26,18150
gas,sedan,186.6,121,160,5500,26,18620
gas,hatchback,156.9,97,69,4900,36,5118
gas,hatchback,157.9,108,73,4400,31,7053
gas,hatchback,157.3,108,73,4400,31,7603
gas,sedan,172,108,82,4800,37,7126
gas,sedan,172,108,82,4400,33,7775
gas,sedan,172,108,94,5200,32,9960
gas,sedan,172,108,82,4800,25,9233
gas,sedan,172,108,111,4800,29,11259
gas,wagon,173.5,108,82,4800,32,7463
gas,wagon,173.5,108,94,5200,31,10198
gas,wagon,173.6,108,82,4800,29,8013
gas,wagon,173.6,108,111,4800,23,11694
gas,hatchback,158.7,92,62,4800,39,5348
gas,hatchback,158.7,92,62,4800,38,6338
gas,hatchback,158.7,92,62,4800,38,6488
gas,wagon,169.7,92,62,4800,37,6918
gas,wagon,169.7,92,62,4800,32,7898
gas,wagon,169.7,92,62,4800,32,8778
gas,sedan,166.3,98,70,4800,37,6938
gas,hatchback,166.3,98,70,4800,37,7198
diesel,sedan,166.3,110,56,4500,36,7898
diesel,hatchback,166.3,110,56,4500,47,7788
gas,sedan,166.3,98,70,4800,47,7738
gas,hatchback,166.3,98,70,4800,34,8358
gas,sedan,166.3,98,70,4800,34,9258
gas,sedan,168.7,98,70,4800,34,8058
gas,hatchback,168.7,98,70,4800,34,8238
gas,sedan,168.7,98,112,6600,29,9298
gas,hatchback,168.7,98,112,6600,29,9538
gas,hardtop,176.2,146,116,4800,30,8449
gas,hardtop,176.2,146,116,4800,30,9639
gas,hatchback,176.2,146,116,4800,30,9989
gas,hardtop,176.2,146,116,4800,30,11199
gas,hatchback,176.2,146,116,4800,30,11549
gas,convertible,176.2,146,116,4800,30,17669
gas,sedan,175.6,122,92,4200,34,8948
diesel,sedan,175.6,110,73,4500,33,10698
gas,hatchback,175.6,122,92,4200,32,9988
gas,sedan,175.6,122,92,4200,32,10898
gas,hatchback,175.6,122,92,4200,32,11248
gas,hatchback,183.5,171,161,5200,24,16558
gas,hatchback,183.5,171,161,5200,24,15998
gas,sedan,187.8,171,156,5200,24,15690
gas,wagon,187.8,161,156,5200,24,15750
diesel,sedan,171.7,97,52,4800,46,7775
gas,sedan,171.7,109,85,5250,34,7975
diesel,sedan,171.7,97,52,4800,46,7995
gas,sedan,171.7,109,85,5250,34,8195
gas,sedan,171.7,109,85,5250,34,8495
diesel,sedan,171.7,97,68,4500,42,9495
gas,sedan,171.7,109,100,5500,32,9995
gas,convertible,159.3,109,90,5500,29,11595
gas,hatchback,165.7,109,90,5500,29,9980
gas,sedan,180.2,136,110,5500,24,13295
diesel,sedan,180.2,97,68,4500,38,13845
gas,wagon,183.1,109,88,5500,31,12290
gas,sedan,188.8,141,114,5400,28,12940
gas,wagon,188.8,141,114,5400,28,13415
gas,sedan,188.8,141,114,5400,28,15985
gas,wagon,188.8,141,114,5400,28,16515
gas,sedan,188.8,130,162,5100,22,18420
gas,wagon,188.8,130,162,5100,22,18950
gas,sedan,188.8,141,114,5400,28,16845
gas,sedan,188.8,141,160,5300,25,19045
gas,sedan,188.8,173,134,5500,23,21485
diesel,sedan,188.8,145,106,4800,27,22470
gas,sedan,188.8,141,114,5400,25,22625
